Byte_size,Stride,Time,Chain_type
32768, 5, 1.35363e-14, random
65536, 5, 1.36826e-14, linear
65536, 5, 1.36338e-14, random
131072, 5, 1.35037e-14, linear
131072, 5, 1.42356e-14, random
262144, 5, 1.53794e-14, linear
262144, 5, 1.38995e-14, random
524288, 5, 1.2837e-14, linear
524288, 5, 1.5645e-14, random
1048576, 5, 1.40513e-14, linear
1048576, 5, 1.294e-14, random
2097152, 5, 1.29725e-14, linear
2097152, 5, 1.29833e-14, random
4194304, 5, 1.28912e-14, linear
4194304, 5, 1.36338e-14, random
8388608, 5, 2.08004e-14, linear
8388608, 5, 1.48048e-14, random
16777216, 5, 2.35272e-14, linear
16777216, 5, 2.62865e-14, random
33554432, 5, 3.1225e-14, linear
33554432, 5, 2.52348e-14, random
67108864, 5, 2.4465e-14, linear
67108864, 5, 3.25694e-14, random
134217728, 5, 2.92789e-14, linear
134217728, 5, 3.37241e-14, random
1024, 6, 1.60245e-14, linear
1024, 6, 1.30646e-14, random
2048, 6, 1.26635e-14, linear
2048, 6, 1.2593e-14, random
4096, 6, 1.25767e-14, linear
4096, 6, 1.2528e-14, random
8192, 6, 1.28857e-14, linear
8192, 6, 1.58781e-14, random
16384, 6, 1.29616e-14, linear
16384, 6, 1.28315e-14, random
32768, 6, 1.25713e-14, linear
32768, 6, 1.27285e-14, random
65536, 6, 1.30592e-14, linear
65536, 6, 1.3211e-14, random
131072, 6, 1.34929e-14, linear
131072, 6, 1.28315e-14, random
262144, 6, 1.31351e-14, linear
262144, 6, 1.32002e-14, random
524288, 6, 1.33303e-14, linear
524288, 6, 1.51138e-14, random
1048576, 6, 1.29562e-14, linear
1048576, 6, 1.29942e-14, random
2097152, 6, 1.30755e-14, linear
2097152, 6, 1.3005e-14, random
4194304, 6, 1.90006e-14, linear
4194304, 6, 1.36664e-14, random
8388608, 6, 1.70979e-14, linear
8388608, 6, 1.38561e-14, random
16777216, 6, 2.58528e-14, linear
16777216, 6, 2.44379e-14, random
33554432, 6, 2.73544e-14, linear
33554432, 6, 2.73382e-14, random
67108864, 6, 2.865e-14, linear
67108864, 6, 3.77519e-14, random
134217728, 6, 2.81513e-14, linear
134217728, 6, 2.80049e-14, random
1024, 7, 1.55962e-14, linear
1024, 7, 1.48265e-14, random
2048, 7, 1.33953e-14, linear
2048, 7, 1.27719e-14, random
4096, 7, 1.25876e-14, linear
4096, 7, 1.34116e-14, random
8192, 7, 1.2528e-14, linear
8192, 7, 1.27773e-14, random
16384, 7, 1.36989e-14, linear
16384, 7, 1.2799e-14, random
32768, 7, 1.2734e-14, linear
32768, 7, 1.27285e-14, random
65536, 7, 1.40187e-14, linear
65536, 7, 1.31514e-14, random
131072, 7, 1.28586e-14, linear
131072, 7, 1.6507e-14, random
262144, 7, 1.33845e-14, linear
262144, 7, 1.29345e-14, random
524288, 7, 1.77863e-14, linear
524288, 7, 1.35851e-14, random
1048576, 7, 1.28912e-14, linear
1048576, 7, 1.30917e-14, random
2097152, 7, 1.31243e-14, linear
2097152, 7, 1.30972e-14, random
4194304, 7, 1.41488e-14, linear
4194304, 7, 1.58619e-14, random
8388608, 7, 2.25243e-14, linear
8388608, 7, 1.40242e-14, random
16777216, 7, 2.98698e-14, linear
16777216, 7, 2.81079e-14, random
33554432, 7, 3.26453e-14, linear
33554432, 7, 4.98028e-14, random
67108864, 7, 3.17075e-14, linear
67108864, 7, 4.08744e-14, random
134217728, 7, 3.19406e-14, linear
134217728, 7, 5.4389e-14, random
1024, 8, 1.26689e-14, linear
1024, 8, 1.63715e-14, random
2048, 8, 1.92446e-14, linear
2048, 8, 1.28749e-14, random
4096, 8, 1.26689e-14, linear
4096, 8, 1.62522e-14, random
8192, 8, 1.29074e-14, linear
8192, 8, 1.29779e-14, random
16384, 8, 1.24737e-14, linear
16384, 8, 1.26852e-14, random
32768, 8, 1.25984e-14, linear
32768, 8, 1.34549e-14, random
65536, 8, 1.30321e-14, linear
65536, 8, 1.34821e-14, random
131072, 8, 1.32598e-14, linear
131072, 8, 1.33194e-14, random
262144, 8, 1.31134e-14, linear
262144, 8, 1.352e-14, random
524288, 8, 1.36393e-14, linear
524288, 8, 1.37911e-14, random
1048576, 8, 1.31351e-14, linear
1048576, 8, 1.31297e-14, random
2097152, 8, 1.45175e-14, linear
2097152, 8, 1.31351e-14, random
4194304, 8, 1.43115e-14, linear
4194304, 8, 1.35417e-14, random
8388608, 8, 2.33646e-14, linear
8388608, 8, 3.76543e-14, random
